title,year,synopsis
Platoon ,1986,"
                                                        In September of 1967, Chris Taylor enters the Vietnam War after dropping out of college. He joins an infantry stationed near the Cambodian border, and struggles to acclimate to the physical demands of soldiering in the jungle. When Taylor vomits on a patrol after seeing the corpse of a Vietnamese soldier, Sergeant Bob Barnes reprimands him, but Sergeant Elias later comes to his aid and lightens the load in his pack. In a letter to his grandmother, Taylor describes his duties, including walking all day, digging foxholes in the evening, and going on all-night ambushes, and worries that he has made a mistake by volunteering for the war. One afternoon, Barnes orders Elias to lead his men on a night patrol, but Elias argues that it is Sergeant O’Neill’s turn. Lieutenant Wolfe, the platoon commander, believes he should be the one giving orders and confronts Barnes, who agrees begrudgingly. In the jungle late at night, Taylor wakes up fellow soldier, Junior, when it is his turn to stand watch; however, Junior quickly falls back asleep, and Taylor later wakes to find soldiers from the North Vietnamese Army (NVA) circling their camp. A firefight ensues, and Taylor is grazed by a bullet while another new recruit, Gardner, is killed. After Taylor returns from a short hospital stay, King, a fellow soldier, invites him to party with Elias and a group of soldiers called “hopheads,” who use drugs, listen to rock n’ roll music, and dance together in their bunker. While Taylor bonds with Elias’s crew, a more aggressive group of soldiers drinks beer and listens to country music while Barnes and O’Neill play poker in their bunker. On New Year’s ...
                                                        "
A Night at the Opera ,1935,"
                                                        In Milan, wealthy Mrs. Claypool has hired Otis B. Driftwood to help her enter society, but he merely helps himself to her money.  He does introduce her to opera impresario Herman Gottlieb, however, who convinces her to hire tenor Rudolfo Lassparri for his New York opera company.  Lassparri is a cad who beats his dresser Tomasso, and tries to captivate Rosa, a soprano who only loves chorus singer Ricardo Barone. Rosa also has an offer to go to America and is sad to leave Ricardo, until she learns that he is stowing away with Tomasso and his old friend Fiorello, who has a mutilated contract with Driftwood for Ricardo's services. They stay in Driftwood's room, which is crowded with one occupant, but bulges to overflowing as the stowaways, assorted maids, waiters, repairmen, and a woman looking for her Aunt Minnie, wander in. When they dock in New York, the stowaways unsuccessfully pose as a trio of bearded aviators, then hide in Driftwood's hotel to avoid deportation. Meanwhile, although Rosa and Lassparri are set to perform "
Easy Rider ,1969,"
                                                        At an airstrip near the California-Mexico border, Wyatt and Billy, two motorcyclists, sell a large quantity of cocaine to a pusher who handles the transaction from his chauffered Rolls Royce. Once Wyatt (who is called ""Captain America"" because of the stars and stripes on his jacket and bike) has concealed the cash in his cycle's gas tank, the two young men ride off, vaguely intending to reach New Orleans, Louisiana, in time for Mardi Gras. Unwelcome at motels because of their nonconformist appearance, they camp outdoors and smoke marijuana until they fall asleep. After stopping at a ranch where they repair their bikes and join the rancher and his Mexican wife for a meal, they pick up a hitchhiker and accompany him to the commune where he lives. Despite the friendliness of the people working the barren soil and a pleasant swim with two women, Billy becomes impatient to leave, and the two once more take to the road. Upon arriving in a Texas town, where a civic celebration is in progress, Wyatt and Billy join the procession and are jailed for ""parading without a permit."" Sharing their cell is alcoholic George Hanson, a civil rights lawyer who prefers sleeping off his binges in jail to facing the wrath of his wealthy father, one of the town leaders. A quick camaraderie develops among the three men; George intercedes and prevents jail officials from giving the two traditional haircuts, and he accepts their invitation to ride with them, mainly because he has always wanted to visit the House of Blue Lights in New Orleans. One night while sitting around a fire, George smokes his first joint and joyfully elucidates his ...
                                                        "
Titanic ,1997,
Spartacus ,1960,"
                                                        During the last century of the Roman Republic, thousands are born enslaved to either the privileged class known as patricians or the wealthiest of the commoners, known as plebeians. One exceptionally strong slave in the rock mines of Libya, Spartacus, is regularly whipped for displaying his intelligence and pride. One day, Batiatus, who trains slaves to become gladiators, purchases Spartacus and several other slaves for his training camp in Capua. There, Batiatus announces that each man will be taught to fight to the death strategically, for the pleasure of patricians who enjoy the “sport.” Training proves as dehumanizing as the mines; each slave is branded, mercilessly instructed by head trainer Marcellus, and kept in cells. Spartacus tries to befriend Ethopian gladiator Draba, but soon learns that the men refuse to ally, knowing that they may be forced to kill each other. One night, Spartacus is presented the slave woman Varinia. Batiatus and Marcellus, knowing that Spartacus has never had a woman, watch from a grate above his cell as Varinia stoically undresses. Their laughter disgusts Spartacus, and after he refuses to mistreat the young woman, Batiatus takes her away as punishment for not acting as “a man.” Over the next weeks, Spartacus excels at gladiatorial skills and falls further in love with Varinia. Marcellus attempts to derail their attraction, but the couple manages to exchange furtive touches. One day, Marcus Licinius Crassus, a patrician in competition with the plebeian Gracchus for control of the Roman Senate, arrives at Capua along with his wife Lady Helena, sister-in-law Claudia and her fiancé, Marcus Glabrus. To celebrate the betrothal, Crassus insists that a gladiatorial match be arranged, ignoring Batiatus’ concern that forcing ...
                                                        "
The Apartment ,1960,"
                                                        In New York in November 1959, C. C. “Buddy” Baxter toils in anonymity in the vast, impersonal offices of Consolidated Life Insurance. At his small apartment, however, Buddy has attracted the attention of several Consolidated executives who “borrow” the space for their extramarital trysts. Buddy, continually assured that he will gain a speedy promotion in thanks for his extra apartment key, endures repeated indignities and spends many of his nights walking the streets, looking up longingly at his own window. In addition, the constant flow of women to the apartment earns Buddy the antipathy of his neighbors, including kindly Dr. Dreyfuss and his wife Mildred, who assume that he is a callous playboy. In reality, Buddy lives a quiet, lonely life, and one night when Consolidated manager Joe Dobisch insists on using the apartment, Buddy contracts a cold while sitting outside in the rain waiting to be allowed back in. In the morning, Buddy works up the nerve to talk to elevator girl Fran Kubelik, who has a reputation among the executives as being hard to get. After spending the afternoon juggling apartment “appointments” so he can rest alone that evening, Buddy is called to the office of personnel manager J. D. “Jeff” Sheldrake, who confronts him about his popularity with the various executives. Although Buddy is worried he will be fired, in reality the married Sheldrake is attempting to intimidate him into lending him the apartment key, and despite his cold, Buddy is buoyed by Sheldrake’s promise of an executive position. Unaware that Sheldrake’s current girl friend is Fran, Buddy asks her to a play that evening. Because Fran is planning to break up with Sheldrake, she tells ...
                                                        "
The Wild Bunch ,1969,"
                                                        By 1913, the outlaw gangs of the Old West are rapidly disappearing. Under the leadership of aging Pike Bishop, one such gang rides into San Rafael, Texas, to rob the local railway office. Though dressed in U.S. Cavalry uniforms, Bishop and his men--Dutch Engstrom, brothers Lyle and Tector Gorch, and a young Mexican, Angel--are ambushed by bounty hunters led by ex-convict Deke Thornton, a former member of Bishop's gang who must pursue his old friend or return to prison. When a group of temperance marchers are caught in the crossfire, the ambush turns into a massacre that ends when Bishop's men escape into Mexico and the bounty hunters stop to loot the corpses. At a rendezvous in Mexico with Sykes, an old, broken-down gunslinger, the gang discovers that the stolen railway bags contain iron washers instead of money. Accepting their bad luck, they ride to Angel's home village, where they learn that the bandit general Mapache, a sadistic opponent of Pancho Villa, has killed Angel's father and ridden off with the youth's sweetheart, Teresa. Though Angel kills Teresa in public when he finds her with the general, Bishop intervenes on behalf of the boy and makes a deal with Mapache whereby Bishop's gang will rob an army munitions train and sell its load of rifles to the bandits for $10,000. In spite of the presence of Thornton's bounty hunters on the train, Bishop's gang hijacks the vehicle and escapes with the army rifles. Angel, who has given a carton of munitions to the people of his village, is seized and held prisoner by the bandits. Because loyalty to one another is all that remains, the ""wild bunch"" demands Angel's ...
                                                        "
Modern Times ,1936,"
                                                        An oppressed assembly-line factory worker is used as a guinea pig for his employer's test of an Automatic Feeding Machine.  The machine malfunctions, nearly driving the worker crazy.  In a nervous frenzy, he runs madly through the factory, spraying oil everywhere.  He is taken to a hospital, but immediately after his release, is arrested when he is mistaken for a radical leader.  Prison life is comfortable, and he reluctantly accepts parole after he heroically stops a jailbreak.  Outside, he discovers mass unemployment, and despite a glowing letter of recommendation, he cannot hold a job.  Eager to return to jail, he gallantly admits to stealing a loaf of bread to save a starving gamin.  The result is that they are both arrested, but manage to escape the police.  Together, they dream of a middle class life, and when the worker becomes a department store night watchman, they happily play among the luxuries they cannot afford.  One night, burglars enter the store, and the worker is arrested again.  The gamin tries to make a home for him in an abandoned shack, and this time, when he is released, his factory has reopened. He goes back to work repairing machines, but a strike puts him out of a job and back in jail.  The gamin finally gets employment dancing in a cafe, and when the worker is freed, he becomes a singing waiter.  Despite his ineptness, he makes a hit with an improvised nonsense song, but just as the couple are a success, the police try to arrest the gamin, who is wanted for running away from Juvenile Hall.  ...
                                                        "
All the President's Men ,1976,"
                                                        In June 1972, a smiling, confident President Nixon is about to address the American people.  At the Watergate building in Washington, D. C., flashlight beams are visible through the windows of an office.  Security guard Frank Wills discovers a piece of masking tape covering a door latch in the garage, and calls the police to report a possible burglary.  Inside an office, one of the burglars announces through a walkie-talkie, “We’re home.”  On the receiving end is a man watching from an adjacent window, who warns them of “activity.”  Undercover police enter the building and arrest the burglars.  The next morning, Harry Rosenfeld and Howard Simons, editors at the "
Forrest Gump ,1994,"
                                                        Forrest Gump, a middle-aged man seated on a bus bench in Savannah, Georgia, offers a chocolate to an African-American nurse beside him. He tells the nurse an old saying of his mother’s: “Life is like a box of chocolates, you never know what you’re gonna get.” Forrest explains that he was named after an ancestor, General Nathan Forrest, who started the Ku Klux Klan, a racist organization. By naming her son ""Forrest,"" Mrs. Gump wanted him to remember that people sometimes do things that don’t make any sense. Decades earlier, in Greenbow, Alabama, young Forrest lives with Mrs. Gump, his single mother, in a large, rural house where she rents out rooms to travelers. Born with a crooked spine, Forrest is made to wear a pair of leg braces to straighten his back. One day, a school administrator, Mr. Hancock, tells Mrs. Gump that Forrest cannot attend public school because his intelligence quotient of seventy-five is too low, but Mrs. Gump changes Hancock’s mind by having sex with him. Later, while a musician houseguest plays his guitar, Forrest dances, moving awkwardly due to his leg braces. Afterward, Mrs. Gump and Forrest spot the houseguest on television – it is Elvis Presley, a famous rock n’ roll musician, emulating Forrest’s style of dancing. On his first day of school, Forrest is shunned by all the kids on the school bus except by Jenny, a young girl who is abused by her alcoholic father. Forrest and Jenny become close friends, and, one day, when bullies throw rocks at Forrest, Jenny instructs him to run. Forrest runs so fast that the braces come off of his legs. From that day forward, Forrest ...
                                                        "
In the Heat of the Night ,1967,"
                                                        In Sparta, Mississippi, one hot September night, the murdered body of wealthy industrialist Philip Colbert is found in an alley. Hunting for suspects, the police pick up Virgil Tibbs, a well-dressed black man, and bring him to headquarters for questioning. To the consternation of police chief Bill Gillespie, Tibbs turns out to be a top homicide detective from Philadelphia, who has been in town visiting his mother. Ordered by his superior in Philadelphia to assist with the case, Tibbs conducts the postmortem examination and thus displays his superior knowledge of criminology. Though enraged, Gillespie reluctantly acquiesces in Tibbs's findings. As the investigation gets underway, Gillespie accuses young Harvey Oberst of the murder when he catches him with the dead man's wallet, but Tibbs quickly proves that Oberst stole the wallet after he found the body. Tibbs, for his part, is so determined to establish the guilt of Eric Endicott, an influential but insolent and bigoted conservative who opposed Colbert's progressive plans for a modern factory, that he too makes a false accusation. Gradually, as Tibbs and Gillespie combine their efforts, a grudging tolerance develops between them. After Gillespie has wrongly charged his own deputy, Sam Wood, with the murder, the local tease, Delores Purdy, is dragged into the police station by her brother, who claims that she is pregnant by Wood. Upon learning about an abortionist called Mama Caleba, Tibbs visits the woman and is still with her when Delores arrives, accompanied by the actual father of her child, diner counterman Ralph Henshaw. Tibbs confronts him, and Henshaw confesses that he murdered Colbert to obtain the money for Delores' abortion. With the case closed, Gillespie drives Tibbs to the ...
                                                        "
The Silence of the Lambs ,1991,"
                                                        Clarice Starling, a top student at the Federal Bureau of Investigation (FBI) Academy in Quantico, Virginia, is summoned by Jack Crawford of the FBI’s Behavioral Science Services Department to partake in a special assignment. Crawford tells Clarice, a former student of his at the University of Virginia, that the FBI is collecting data on all imprisoned serial killers, but thus far, they have had no luck with Dr. Hannibal Lecter, a psychiatrist who ate his murder victims, earning the nickname “Hannibal the Cannibal.” Clarice suspects the assignment is related to an ongoing investigation of “Buffalo Bill,” a wanted serial killer who skins his female victims, but Crawford denies it. In Maryland, at the Baltimore State Forensic Hospital headed by the self-important Dr. Frederick Chilton, Clarice is warned upon arrival that Dr. Hannibal Lecter is a “pure psychopath.” Eyeing her lasciviously, Dr. Chilton suggests Jack Crawford is attempting to manipulate Lecter by sending an attractive woman to question him. Clarice is led to a maximum-security corridor in the basement, where Lecter is being held in a glassed-in cell. Clarice introduces herself, and Lecter sniffs the air, guessing the type of lotion and perfume she uses. He attempts to psychoanalyze Clarice, guessing by her accent and clothing that she is from West Virginia and only one generation removed from “poor white trash.” When she asks him to fill out an FBI questionnaire, he loses patience with her and sends her away. Clarice walks past a neighboring cell, where a prisoner named Miggs masturbates and throws semen in her face. Lecter overhears and calls Clarice back. Apologizing for Miggs’s rudeness, he offers Clarice a clue, urging her, “Look deep within yourself.” He ...
                                                        "
Butch Cassidy and the Sundance Kid ,1969,"
                                                        Dismayed by the extreme measures to prevent robberies taken by a small-town western bank, notorious bank robber Butch Cassidy wanders over to a saloon to meet his partner, The Sundance Kid, who is in the middle of a card game.  One of the players, Macon, unaware of Sundance’s identity, accuses the outlaw of cheating and, refusing to surrender his money, prepares to fight it out.  When Butch attempts to intervene, Macon orders him away until he learns Sundance’s identity after which he meekly withdraws his accusation.  On the long ride back to their hideout, the Hole in the Wall in Wyoming, Butch tries to convince Sundance that they should go to Bolivia, which abounds in gold.  Arriving at the hideout, Butch is surprised to find gang members Harvey Logan, News Carver and Flat Nose Curry preparing to rob the Union Pacific Overland Flyer train.  Butch vetoes their plan, declaring that banks are much more reliable.   Harvey then informs Butch that because Butch has spent so much time away, Harvey has taken over leadership of the gang and made the decision to rob the Flyer.  Butch insists he remains the gang’s leader, leading Harvey to challenge him to a fight, which Butch quickly wins by distracting his opponent.  Afterward, Butch decides that the plan to rob the train on both of its scheduled trips through the area is sound.  The gang stops the Flyer, whose engineers are excited at being robbed by Butch, but the theft is almost thwarted by the dedicated efforts of a young clerk, Woodcock, who refuses to open the train car containing the bank safe.  ...
                                                        "
The Shawshank Redemption ,1994,
Saving Private Ryan ,1998,
A Clockwork Orange ,1971,"
                                                        Sometime in the not-to-distant future, gangs of teenage thugs roam rubble-strewn streets, terrorizing citizens who sequester themselves behind locked doors. Alex, the leader of one of the gangs, and his “droogs,” Pete, Georgie and Dim, distinguish themselves by wearing all-white, cod pieces, bowler hats and walking canes as the spend their nights committing rapes, muggings and beatings for entertainment. One night, after stopping at the Korova Milk Bar for the house specialty, drug-laced milk that induces “ultra violence,” the group kicks an elderly tramp mercilessly. Finding rival gang leader Billyboy and his hoodlums raping a woman nearby, Alex and his droogs take a moment to enjoy the scene then use chairs, broken bottles and knives to pummel the other gang unconscious. The gang speeds off in their Durango 95 sports car playing a game called “hogs of the road,” which entails forcing other drivers off the road. Spotting a wealthy residence displaying the sign “HOME,” the gang gains admittance by claiming that they need to use the phone to report an accident. Once inside, Alex beats and kicks the home’s owner, writer Mr. Frank Alexander, while mimicking a soft shoe dance routine and singing a musical number. After the droogs shove balls into the mouths of Alexander and his wife and wrap their heads in tape, Alex rapes Mrs. Alexander as Mr. Alexander watches helplessly. Later, Alex returns to municipal flatblock 18A, a disheveled modern apartment building where he lives with his cowardly mum and dad. After stashing stolen money and watches, Alex listens to his favorite composer, Beethoven, plays with his pet snake and dreams of further violence. The next morning, Alex refuses to go to school, claiming ...
                                                        "
Tootsie ,1982,"
                                                        Although Michael Dorsey is a passionate and respected acting coach in the New York City theater scene, directors continually refuse to hire him because of his combative personality and perfectionism. On his birthday, Michael’s amateur playwright roommate, Jeff Slater, throws him a surprise party at their apartment. Afterward, Michael helps his actress friend Sandy Lester prepare her audition for the television soap opera, "
Unforgiven ,1992,"
                                                        In 1880, at Greely’s whorehouse in Big Whiskey, Wyoming, a drunken cowboy named “Quick Mike” orders his friend, Davey Bunting, to hold down prostitute Delilah Fitzgerald while he slashes her face in retaliation for laughing at his small penis. Greely’s proprietor “Skinny” Dubois stops Mike at gunpoint. Complaining that Delilah is now “damaged property,” Skinny tells the sheriff, “Little Bill” Daggett, that he wants compensation for lost revenue. Seasoned prostitute “Strawberry Alice” argues that Mike and Davey should be hanged, but Little Bill forgoes hanging or whipping. Instead, he orders them to repay Skinny seven ponies. Scheming revenge, Strawberry Alice rallies the prostitutes to pool their savings. Sometime later, on his small farm in Kansas, widower William Munny enlists the help of his children, Will and Penny, in corraling sick pigs. A cocksure young man calling himself the “Schofield Kid,” after his Schofield revolver, arrives in search of the “cold-blooded assassin,” William Munny, he heard about from his Uncle Pete. The Kid wants to team with Munny to collect a $1,000 reward on the heads of Quick Mike and Davey. Munny claims he is no longer a killer since his late wife, Claudia Feathers, cured him of his drinking problem and showed him the error of his ways. The Kid is riding due west to the Western Trail in case Munny changes his mind. Returning to work on his ailing farm, Munny has a change of heart. He tells his son, Will, to take care of the younger Penny, and promises to be back in two weeks. He has a hard time mounting his horse, not having ridden in some time, and explains to the children that the recalcitrant ...
                                                        "
Who's Afraid of Virginia Woolf? ,1966,"
                                                        At two a.m. on the campus of a New England college, a middle-aged professor of history and his wife return home from a party. Their life together, after twenty years of marriage, is dominated by violent arguments tempered by occasional moments of tenderness. George, the husband, is a victim of lost idealism--a fact that his wife, Martha, eagerly points out by constantly comparing him to her father, the president of the college. Martha conceals her own vulnerability and frustration behind a show of loud vulgarity. She has created an imaginary son, and George has indulged her in the pretense, partially for his own sake as well. Earlier in the evening, Martha invited a faculty couple, Nick and Honey, to drop by for a drink; as soon as they arrive, Martha begins making flagrant advances toward the younger man. Honey, embarrassed by Martha's behavior and unaccustomed to so much liquor, becomes ill. Intoxicated, Nick confides to George that he married Honey because she falsely told him that she was pregnant. The long night of drinking and quarreling wears on, and Martha eventually lures the opportunistic and drunken Nick to her bedroom upstairs, while George watches their shadows from the yard below. When he learns that Martha has told Honey about their son, George brutally destroys his wife's fantasy by announcing that the son is dead. He then reduces her to hysteria by conducting a mock funeral service in Latin. With the coming of dawn, the guests depart. Physically and emotionally exhausted, George and Martha share a moment of ...
                                                        "
Raiders of the Lost Ark ,1981,"
                                                        In 1936 South America, archeologist-professor Indiana “Indy” Jones explores the jungle for a golden godhead.  Retrieving the idol from an ancient temple, Indy unwittingly triggers a series of booby traps and narrowly escapes, but he is thwarted by the unexpected appearance of a rival archeologist named René Belloq, who is delighted to seize the relic and unleash an army of tribal warriors.  Dodging arrows, Indy gets away on an awaiting seaplane.  Back in the U.S., Indy returns to his university classroom, where is visited by colleague Marcus Brody.  The erudite gentleman chides Indy for his illicit practices of hunting artifacts for financial gain, then alerts his friend to the presence of two U.S. intelligence agents on campus, who are waiting to meet him.  In a lecture hall, the men ask Indy to interpret a secret German communiqué recently intercepted in Cairo, Egypt.  The agents reveal that Nazis are excavating the area for biblical artifacts to prove Adolf Hitler is the Christian Messiah, and to wield the relics’ mystical powers.  When the German dispatch gives orders to acquire a “headpiece” from a professor named Abner Ravenwood, Indy acknowledges the name of his former mentor and realizes the Nazis have discovered the ancient city of Tanis, the focus of Ravenwood’s research.  Indy explains that Tanis is the burial place of the Lost Ark of the Covenant, which holds the Ten Commandments, but its exact location has remained a mystery for 3,000 years.  According to ancient lore, the ark’s tomb in the “Well of Souls” can only be located by taking a special headpiece to the “Map Room” in Tanis and holding it ...
                                                        "
The African Queen ,1952,"
                                                        In September 1914 in the German East African village of Kungdu, British Reverend Samuel Sayer and his spinster sister Rose lead prayers at the makeshift First Methodist Church. The natives struggle to follow the English psalm, but race outside when they hear Canadian Charlie Allnut's ancient launch the "
Network ,1976,"
                                                        On 27 September 1975, Max Schumacher, the head of the United Broadcasting System’s  (UBS) television news department, fires veteran newscaster and old friend Howard Beale because of his low ratings. To commiserate, Max drinks with Howard at a couple of New York City bars, and toward the end of the night, Howard drunkenly suggests that shooting himself during his broadcast might improve ratings. The equally inebriated Max jokingly adds that real-life murder and mayhem might improve the entire network’s ratings. The next evening, during his broadcast, Howard announces his upcoming retirement, and since he has nothing else in his life, he will “blow his brains out” on next Tuesday’s show. The comment creates a media flurry, and UBS executive Frank Hackett takes Howard off the air. The next day, Howard calls Max to apologize and ask if he can return to his show that night to say goodbye. Later, Los Angeles, California, news liaison Bill Herron shows Max and Diana Christensen, the head of UBS programming, film footage of a bank robbery taken by an African American revolutionary group, the Ecumenical Liberation Army (ELA). Herron tells them that his contact, Laureen Hobbs, a black U.S. Communist Party official, is in communication with the ELA and can supply the network with more crime footage. Though Max sees no news value in the film, Diana thinks UBS could build a new “movie of the week” around the ELA by mixing its anti-establishment crime footage with scripted stories. At a UBS stockholders’ meeting, Hackett announces plans to end the independent news division’s autonomy because it loses money. Discovering that his authority has been undermined, Max is outraged, and believes that Hackett ...
                                                        "
Cabaret ,1972,"
                                                        In 1931, naïve Englishman Brian Roberts, seeking to broaden his experiences and further his education, arrives in Berlin, where he hopes to support himself by giving English lessons.  Brian goes to the shabby boardinghouse run by Fraulein Schneider and there is greeted by Sally Bowles, an exuberant American singer.  Sally, obsessed with becoming a movie star, is oblivious to the economic and political turmoil in Berlin, especially between the Nazis and Communists, and instead revels in the decadent atmosphere of alcohol, sex and excess.  Because Brian’s room is too small to accommodate pupils, Sally offers him the use of her larger room and, liking the introverted young man immediately, persuades him to move in.  The Kit-Kat Club, where Sally works, is presided over by the androgynous, leering Emcee who exhorts the audience to forget their troubles while in the club, where “everything is beautiful.”  Brian enjoys Sally’s sensual performance and is introduced by her to Fritz Wendel, an impoverished German who hopes to improve both his English and chances of landing a rich wife.  As Sally and Brian spend time together, she asserts that she is “a most strange and extraordinary person” and describes her desire to become famous, as well as her loving relationship with her diplomat father.  One day, while discussing Brian’s work in his room, Sally attempts to seduce Brian, who responds that it is “a bit early in the day” for that sort of thing.  Sally caustically muses that perhaps he does not sleep with girls, but when Brian does not reply, she promises that she would never pursue him if he prefers male companionship.  Although ...
                                                        "
American Graffiti ,1973,"
                                                        On one of the last summer nights of 1962, teenagers cruise the main drag of their small California town as rock and roll music and the wry comments of disc jockey Wolfman Jack blare from their car radios.  At Mel’s Drive-in, a favorite gathering place, waitresses on roller skates serve food to customers seated in their cars.  For two recent high school graduates, popular senior class president Steve Bolander and his more studious friend, Curt Henderson, this is their last night in town, as they are flying east to a prestigious college in the morning.  Steve, whose father is prominent in the Moose Lodge, delivers the organization’s scholarship check to Curt, but his friend is having second thoughts and confides that he may instead attend the local city college for a year.  Ready for change, Steve is surprised by Curt’s revelation and suggests to his girl friend Laurie, who is Curt’s sister and the head cheerleader, that they should date other people while he is away.  Presenting the keys of his Chevy to his gawky former classmate, Terry “the Toad” Fields, Steve asks him to take care of the car.  Curt chats with their twenty-two-year-old friend, John Milner, an auto mechanic and amateur racer who has remained in perpetual adolescence and suppresses his feelings of being left behind.  While looking at the young women around him, Curt longs for the “dazzling beauty” of his dreams and, while on his way to a school sock hop with Steve and Laurie, he spots a beautiful blonde driving a white Thunderbird automobile. When she mouths the words “I love you” and drives away, Curt wants ...
                                                        "
Sullivan's Travels ,1942,"
                                                        Hollywood film director John L. Sullivan dreams of making a film called "
Duck Soup ,1933,"
                                                        Wealthy widow Gloria Teasdale forces the government of Freedonia to accept Rufus T. Firefly as its leader. Firefly's outrageous public behavior offends Ambassador Trentino of Sylvania, who with the help of his confederate, dancer Vera Marcal, intends to take control of Freedonia by marrying Mrs. Teasdale.  Firefly, who also makes occasional love to Mrs. Teasdale after learning of her fortune, has in his employ two of Trentino's spies, Chicolini and Pinky, whose battles with a street vendor of lemonade are more effective than their espionage.  Firefly's secretary, Bob Roland, decides that Firefly must insult Trentino so that the latter may be deported, and Firefly handles the job with enthusiasm, bringing the two countries to the brink of war.  Chicolini and Pinky attempt to steal Freedonia's war plans by impersonating Firefly, and though Firefly is temporarily persuaded that Pinky is his own reflection in a mirror, the job results in Chicolini's capture and trial for treason.  Several efforts by Mrs. Teasdale, Trentino and Marcal to effect a reconciliation between Firefly and Trentino only result in Firefly repeating his offensive behavior, and war is finally declared.  Chicolini begins the war on the side of Sylvania but soon joins Pinky on Freedonia's side, and Freedonia's soldiers under Firefly's unorthodox command, eventually capture Trentino and emerge ...
                                                        "
Nashville ,1975,"
                                                        Five days before a U.S. presidential primary election, Replacement Party candidate Hal Phillip Walker’s “Walker Talker Sleeper” van, which is fitted with loudspeakers on the roof, is driven from early morning until night through the streets of Nashville, Tennessee, broadcasting Walker’s message that the current political system is failing. Elsewhere, during a recording session, country western veteran singing star, Haven Hamilton, insists that Opal, who claims to be a BBC journalist, leave his studio. Bud, Haven’s son and business manager, escorts Opal to the session of white gospel singer, Linnea Reese, and her black chorus of Fisk University students. The incessantly chatty Opal, who says she is preparing a documentary, compares the rhythmic movements of the singers to Kenya natives and asks Bud whether they “carry on like that in church.” A little later, at Nashville Airport, music fans and a marching band wait on the tarmac for the plane carrying beloved country singer Barbara Jean. A television newsman at the scene reports that Barbara Jean spent several weeks at a Baltimore burn care unit after a fire baton accident. From within the crowd, Pfc. Glenn Kelly watches the fragile Barbara Jean intently, and Haven is also there at the microphone to officially greet her. Also at the airport is Haven’s attorney, Delbert Reese, who meets with John Triplette, a smooth-talking political aide from Los Angeles. Triplette asks for Delbert’s help in convincing country western singers to perform at a televised pre-election rally for Walker. Wade, a dishwasher, and his neighbor, Sueleen Gay, a tone deaf waitress, are two airport employees hoping for a “big break” in their musical careers. After they finish their shift, they go outside to ...
                                                        "
The Gold Rush ,1925,"
                                                        During the Gold Rush, prospectors brave Alaska’s dangerous Chilkoot Pass, hoping to strike it rich in the snowy mountains. Just as Big Jim McKay discovers gold on his claim, a storm arises, prompting a Lone Prospector to take refuge in a cabin. Unknown to him, the cabin’s occupant is desperado Black Larsen, who attempts to throw the vagabond Prospector out. Strong winds, however, repeatedly blow the little man back inside, and soon after, Jim is also swept into the cabin. Jim fights with Larsen over his shotgun, and after Jim prevails, the Prospector claims him as a close friend in order to remain safe. Over the next few days, the three men live together uneasily, their hunger growing as the storm rages on. After eating the lantern candle, with salt, the Prospector worries in vain that Jim has eaten Larsen’s little dog. Finally, the men cut cards to see who will hunt for food, and the loser, Larsen, sets out alone. He immediately encounters two lawmen who are searching for him, and after shooting them both, steals their supplies and travels on until he happens upon Jim’s claim. Meanwhile, the Prospector and Jim grow so ravenous that they boil and eat the Prospector’s leather shoe for Thanksgiving dinner. Unsatiated, Jim starts hallucinating, imagining that the Prospector is a large, luscious chicken. He tries repeatedly to shoot his little friend for dinner, causing the men to fight. The Prospector closes his eyes and attacks, and when he discovers that the leg he is clutching is actually that of a bear, he shoots it, finally providing them with a meal. Soon after, the storm ends and the friends part ways. Upon ...
                                                        "
Rocky ,1976,"
                                                        In late November, 1975, Rocky Balboa, a sweet, garrulous, slightly over-the-hill boxer, wins his latest match with more fury than talent. Although he is well-known and well-liked in his South Philadelphia neighborhood, back in his dingy apartment, he has only his turtles to whom he can report his triumph. He then visits the local pet store in the hope of winning over the painfully shy clerk, Adrian Pennino, but she barely responds to his efforts. During his day job Rocky works as a collector for local loan shark Tony Gazzo, but when he cannot bring himself to break the thumb of one debtor, Rocky earns Gazzo’s displeasure. Demoralized, Rocky turns to the one place at which he feels at home, the gym, but there discovers that his manager, Mickey Goldmill, has given his locker to a new contender. When Rocky confronts Mickey, the 76-year-old former bantamweight states that although Rocky has heart, he fights “like an ape” and should quit before he loses his one distinction, his unbroken nose. After once again getting nowhere with Adrian, Rocky visits her brother, meat packer Paulie Pennino, to ask why she disdains him. Paulie declares Adrian a “loser,” a spinster at almost thirty, but invites Rocky to Thanksgiving dinner with them the following night. Meanwhile, reigning heavyweight champion Apollo Creed learns that his next opponent, set to fight him in five weeks’ time, is injured and no worthy contender can be arranged. Creed, a colorful attention-seeker, despairs of losing the media coverage and decides to launch an exhibition fight with a Philadelphia unknown on New Year’s Day, the first day of the country’s bicentennial. Declaring that Americans will love the idea of ...
                                                        "
